CustomerID,ReservationID,DateBooked,CancelledDate,StayFrom,StayTo,NightsCharged,Status
3781,187359,2020-04-18 19:49:08.000,NULL,2021-01-28 00:00:00.000,2021-01-30 00:00:00.000,2,active
3781,173048,2020-08-19 18:23:22.000,NULL,2021-02-12 00:00:00.000,2021-02-15 00:00:00.000,3,active
3784,132104,2020-09-15 16:29:05.000,NULL,2020-12-17 00:00:00.000,2021-01-09 00:00:00.000,23,active
3784,135873,2021-02-07 16:07:12.000,NULL,2021-03-23 00:00:00.000,2021-03-25 00:00:00.000,2,active
3787,192914,2020-11-08 11:29:08.000,NULL,2021-01-08 00:00:00.000,2021-01-11 00:00:00.000,3,active
3787,128302,2021-03-05 18:36:43.000,NULL,2021-03-30 00:00:00.000,2021-04-04 00:00:00.000,5,active
3787,197713,2021-06-27 15:39:59.000,NULL,2024-03-12 00:00:00.000,2024-03-14 00:00:00.000,2,active
3803,132380,2020-10-23 10:42:19.000,NULL,2020-11-27 00:00:00.000,2020-11-29 00:00:00.000,2,active
3803,187037,2020-03-30 12:22:34.000,NULL,2021-01-06 00:00:00.000,2021-01-08 00:00:00.000,2,active
3803,136764,2022-04-22 11:01:43.000,NULL,2023-03-20 00:00:00.000,2023-05-09 00:00:00.000,50,active
3806,187996,2020-05-14 09:50:22.000,NULL,2020-07-07 00:00:00.000,2020-08-22 00:00:00.000,46,active
3806,154671,2021-01-17 16:18:28.000,NULL,2021-01-22 00:00:00.000,2021-01-30 00:00:00.000,8,active
3806,176184,2020-12-27 19:52:36.000,NULL,2021-05-25 00:00:00.000,2021-06-09 00:00:00.000,15,active
3809,120961,2020-10-13 14:55:15.000,NULL,2020-12-18 00:00:00.000,2020-12-20 00:00:00.000,2,active
3809,154958,2021-04-07 19:12:39.000,NULL,2024-02-08 00:00:00.000,2024-02-12 00:00:00.000,4,active
3825,193671,2020-12-13 15:50:03.000,NULL,2021-01-15 00:00:00.000,2021-01-17 00:00:00.000,2,active
3825,128148,2021-02-19 11:26:22.000,NULL,2021-07-06 00:00:00.000,2021-07-10 00:00:00.000,4,active
3828,176281,2021-01-08 15:17:25.000,NULL,2021-02-05 00:00:00.000,2021-02-08 00:00:00.000,3,active
3828,177966,2021-05-21 13:39:49.000,NULL,2021-08-10 00:00:00.000,2021-08-16 00:00:00.000,6,active
3831,132442,2020-11-06 18:36:39.000,NULL,2020-12-19 00:00:00.000,2020-12-23 00:00:00.000,4,active
3847,121029,2020-11-15 15:56:35.000,NULL,2020-12-23 00:00:00.000,2020-12-25 00:00:00.000,2,active
3847,152343,2020-05-12 18:22:43.000,NULL,2021-01-22 00:00:00.000,2021-01-24 00:00:00.000,2,active
3847,180484,2022-05-27 09:58:01.000,NULL,2022-10-12 00:00:00.000,2022-11-18 00:00:00.000,37,active
3847,155821,2022-03-02 15:59:19.000,NULL,2023-07-10 00:00:00.000,2023-08-25 00:00:00.000,46,active
3847,136391,2021-06-30 12:58:40.000,NULL,2024-01-04 00:00:00.000,2024-01-06 00:00:00.000,2,active
3850,120912,2020-09-21 14:37:48.000,NULL,2020-12-23 00:00:00.000,2020-12-25 00:00:00.000,2,active
